danceability,key,mode,time_signature,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,popularity,genre
0.536,7,1,4,0.521,-4.128,0.0274,0.41,0,0.142,0.314,72.06,194706,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.11764705882352941,0.08823529411764706,0.14705882352941177,37,Pop
0.624,1,0,4,0.821,-3.844,0.0422,0.112,0,0.276,0.449,93.984,180693,0,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.023809523809523808,0.14285714285714285,0.14285714285714285,0.23809523809523808,26,Pop
0.738,1,0,4,0.804,-4.286,0.0821,0.163,0,0.826,0.717,120.017,234426,0.12195121951219512,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.12195121951219512,0.0975609756097561,0.024390243902439025,0.0975609756097561,0.17073170731707318,0.1951219512195122,39,Pop
0.675,7,1,3,0.643,-6.004,0.0315,0.233,0,0.561,0.325,114.051,211293,0,0.08333333333333333,0,0,0.16666666666666666,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,24,Pop
0.764,6,1,4,0.842,-3.835,0.059,0.0546,0,0.0351,0.869,105.018,214280,0.09090909090909091,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.2727272727272727,0.06060606060606061,26,Pop
0.323,2,1,4,0.327,-7.494,0.0411,0.824,0,0.101,0.335,81.329,327773,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.125,0.125,0.20833333333333334,40,Pop
0.585,9,1,4,0.831,-4.024,0.0334,0.0391,1.44e-4,0.104,0.28,130.059,211226,0.2,0.03333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.2,0.06666666666666667,22,Pop
0.473,7,0,4,0.824,-3.68,0.163,0.482,0,0.605,0.374,77.888,222928,0.07407407407407407,0.1111111111111111,0.018518518518518517,0.018518518518518517,0.1111111111111111,0.07407407407407407,0.09259259259259259,0.16666666666666666,0.1111111111111111,0.2222222222222222,63,Pop
0.41,1,1,4,0.82,-6.808,0.533,0.252,0,0.538,0.526,170.718,223124,0.10135135135135136,0.10135135135135136,0.060810810810810814,0.08783783783783784,0.08783783783783784,0.07432432432432433,0.060810810810810814,0.12837837837837837,0.14864864864864866,0.14864864864864866,65,Pop
0.735,10,1,4,0.449,-7.507,0.347,0.629,0,0.113,0.0397,122.947,220487,0.06557377049180328,0.08196721311475409,0.04918032786885246,0.06557377049180328,0.13114754098360656,0.06557377049180328,0.03278688524590164,0.18032786885245902,0.13114754098360656,0.19672131147540983,84,Pop
0.458,9,0,4,0.452,-9.299,0.047,0.342,1.94e-5,0.0703,0.316,86.318,269680,0.0625,0.10416666666666667,0.08333333333333333,0.08333333333333333,0.125,0.08333333333333333,0.020833333333333332,0.125,0.16666666666666666,0.14583333333333334,68,Pop
0.83,1,0,4,0.49,-8.82,0.209,0.289,3.04e-6,0.113,0.845,81.604,247058,0.14,0.08,0.08,0.08,0.08,0.06,0.02,0.1,0.22,0.14,80,Pop
